;TAL;MATRIX LEDCONVERTERS v10.8.2 (2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TOESTEL;TOESTEL;TOESTEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;I nominal (mA) determines type ledconverter:;;;;;;;;;180;250;250;250;350;350;350;350;350;350;350;350;350;500;700;700;700;700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;V nominal (V) of luminaire:;;24;24;24;48;48;48;48;34,60;17;34;51;3,20;10,95;18,50;17,70;17,00;38,60;33,80;35,10;36,00;36,20;11,20;11,32;35,10;9,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;P nominal (W) of luminaire:;;9,60;14,40;19,20;"6,12
(led3,82)";"12,24
(led7,64)";"10,97
(led7,84)";"21,95
(led15,68)";6,22;4,25;8,50;12,75;1,20;3,82;6,48;6,20;5,95;13,50;11,80;12,30;12,70;18,10;7,84;7,91;24,50;6,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;ARTNR;CONVERTER DESCRIPTION:;DIMLIST TYPE;STRAIN RELIEF;LOCATION;DIMMABILITY;CCR (AMPLITUDE);SIZE: L*B*H (mm);EFFICIENCY @full load;IP;CLASS;NOM. INPUT VOLTAGE (V);OUTPUT VOLTAGE (V);;m LEDLINE medium power 9,6W;m LEDLINE high power 14,4W;m LEDLINE very high power 19,2W;Thinksmall single on track;Thinksmall double on track;Haloled single on track;Haloled double on track;Beaufort;Thinksmall halosphere single;Thinksmall halosphere double;Thinksmall halosphere triple;Single led XPE;Thinksmall/floorspot WC luxeon MX;*MIX 6 monocolor ;Cedrus quantum;*MIX 6 halosphere;MIX 13 monocolor ;MIX 13 halosphere;ORBITAL monocolor ;ORBITAL halosphere;Beaufort²;Haloled;B4;MIX 26 monocolor;*BOA WC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24V DC;40025;LEDCONVERTER 24V 10W IP20                                 ;;NO;INDOOR;NOT DIMMABLE;;76*36*18;60%;20;2;198 - 254;24;;1,0;0,7;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24V DC;40057;LEDCONVERTER REMOTE 24V 20W IP20 ;;YES;INDOOR;NOT DIMMABLE;;109*50*35;83%;20;2;195 - 254;24;;2,0;1,3;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24V DC;40063;LEDCONVERTER 24V 20W IP67;;NO;IN&OUTDOOR;NOT DIMMABLE;;118*35*26;83%;67;2;90 - 264;24;;2,0;1,3;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24V DC;40080;LEDCONVERTER REMOTE 24V 20W IP20 1-10V;;YES;INDOOR;1-10V;;103*67*21;88%;20;2;100 - 264;24;;2,0;1,3;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24V DC;40070;LEDCONVERTER 24V 35W IP67;;NO;IN&OUTDOOR;NOT DIMMABLE;;148*40*30;85%;67;2;90 - 264;24;;3,5;2,3;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
